졸음쉼터명,시도명,시군구명,도로종류,도로노선명,도로노선번호,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,총연장,주차면수,화장실유무,방범용CCTV수,기타편의시설,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
죽당졸음쉼터,09,이천시 부발읍,02,남해~초산,3,초산기점+남해종점,경기도 이천시 부발읍 죽당리 산40-6,경기도 이천시 부발읍 죽당리 산40-6,37.284335,127.525170,280,16,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
죽당졸음쉼터,09,이천시 부발읍,02,남해~초산,3,남해기점+초산종점,경기도 이천시 부발읍 죽당리 287-91,경기도 이천시 부발읍 죽당리 287-91,37.284843,127.525732,280,16,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
도봉졸음쉼터,09,이천시 신둔면,02,남해~초산,3,초산기점+남해종점,경기도 이천시 신둔면 도봉리 547,경기도 이천시 신둔면 도봉리 547,37.314312,127.453879,280,16,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
도봉졸음쉼터,09,이천시 신둔면,02,남해~초산,3,남해기점+초산종점,경기도 이천시 신둔면 도봉리 557-15,경기도 이천시 신둔면 도봉리 557-15,37.314799,127.453879,280,16,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
천남졸음쉼터,09,여주시 대신면,02,거창~파주,37,파주기점+거창종점,경기도 여주시 대신면 천남리 384-8,경기도 여주시 대신면 천남리 384-8,37.339834,127.623201,250,7,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
천남졸음쉼터,09,여주시 대신면,02,거창~파주,37,거창기점+파주종점,경기도 여주시 대신면 천남리 384-7,경기도 여주시 대신면 천남리 384-7,37.340071,127.623571,250,7,N,0,파고라+벤츠,수원국토관리사무소,031-218-1743,2018-09-03,1613168,국토교통부 서울지방국토관리청
임원쉼터(하행선),10,삼척시,02,부산~온성선,7,강릉방향,,강원도 삼척시 원덕읍 임원리 271-9,37.251920,129.335202,110,15,N,0,없음,삼척시 건설과,033-570-3484,2018-08-31,4240000,강원도 삼척시
초곡쉼터(하행선),10,삼척시,02,부산~온성선,7,울진방향,,강원도 삼척시 근덕면 초곡리 산 58-7,37.297567,129.295872,42,15,Y,0,없음,삼척시 건설과,033-570-3484,2018-08-31,4240000,강원도 삼척시
초곡쉼터(상행선),10,삼척시,02,부산~온성선,7,강릉방향,,강원도 삼척시 근덕면 초곡리 403-4,37.310184,129.293795,111,24,Y,0,없음,삼척시 건설과,033-570-3484,2018-08-31,4240000,강원도 삼척시
김포졸음쉼터(판교방면),09,김포시,01,서울외곽순환고속도로(판교방면),100,판교방면,경기도 김포시 고촌읍 김포대로319번길 209-23,경기도 김포시 고촌읍 신곡리 756-3,37.59225907,126.7683906,,28,Y,,푸드트럭,한국도로공사 김포영업소,031-985-0456,2019-09-04,4090000,경기도 김포시
김포졸음쉼터(일산방면),09,김포시,01,서울외곽순환고속도로(일산방면),100,일산방면,경기도 김포시 고촌읍 김포대로319번길 209-23,경기도 김포시 고촌읍 신곡리 756-3,37.59225907,126.7683906,,79,Y,,푸드트럭,한국도로공사 김포영업소,031-985-0456,2019-09-04,4090000,경기도 김포시
자유로졸음쉼터(상행선),경기도,파주시,고속국도,자유로,국도77호선,서울방향,,경기도 파주시 자유로 2681,37.740892,126.687541,45.5,40,Y,0,없음,파주시도로관리사업소,031-940-5392,2020-06-26,4060000,경기도 파주시
인천공항고속도로 비상주차대,인천광역시,서구,고속국도,인천국제공항고속도로(인천~경기고양),130,인천 기점+경기고양 종점,,인천광역시 서구 검암동 산113-14,37.56899837,126.6626286,,27,Y,2,파고라+운동시설+안내표지판+횡단보도+LED가로등+조경식재+음료자동판매기,신공항하이웨이㈜,032-560-6100,2020-07-01,3560000,인천광역시 서구
마이산 졸음쉼터,전라북도,진안군,고속국도,익산장수선,20,익산 기점 + 장수 종점,,전라북도 진안군 진안읍 연장리 1551-11,35.4628524,127.467676,490,7,Y,1,"운동시설, 등의자, 파고라",한국도로공사 전북본부,063-714-6641,2020-07-13,4730000,전라북도 진안군
마이산 졸음쉼터,전라북도,진안군,고속국도,익산장수선,20,장수 기점 + 익산 종점,,전라북도 진안군 마령면 덕천리 산 14,35.46150204,127.2133257,510,7,Y,1,"운동시설, 등의자, 파고라",한국도로공사 전북본부,063-714-6641,2020-07-13,4730000,전라북도 진안군
양산,경상남도,양산시,고속국도,경부선,1,부산기점 + 서울종점,,경상남도 양산시 중부동 119-1,35.34243649,129.0425667,,18,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
양산,경상남도,양산시,고속국도,경부선,1,서울기점 + 부산종점,,경상남도 양산시 중부동 189-1,35.34336341,129.0425522,,8,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
삼남,울산광역시,울주군,고속국도,경부선,1,부산기점 + 서울종점,,울산광역시 울주군 삼남면 교동리 602-1,35.54524148,129.1190226,,7,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
언양,울산광역시,울주군,고속국도,경부선,1,서울기점 + 부산종점,,울산광역시 울주군 언양읍 반곡리 산50-4,35.59482391,129.1382126,,16,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
내남,경상북도,경주시,고속국도,경부선,1,부산기점 + 서울종점,,경상북도 경주시 내남면 이조리 484-3,35.75241325,129.1946881,,16,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
고성,경상남도,고성군,고속국도,통영대전선,35,통영기점 + 하남종점,,경상남도 고성군 거류면 송산리 산98,34.98226484,128.3731445,,8,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
고성,경상남도,고성군,고속국도,통영대전선,35,하남기점 + 통영종점,,경상남도 고성군 거류면 송산리 산98,34.98201866,128.3728752,,8,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
금곡,경상남도,사천시,고속국도,통영대전선,35,통영기점 + 하남종점,,경상남도 사천시 사천읍 금곡리 30-4,35.09495336,128.1644555,,6,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
금곡,경상남도,사천시,고속국도,통영대전선,35,하남기점 + 통영종점,,경상남도 사천시 사천읍 금곡리 31,35.09472897,128.1642672,,6,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
창녕,경상남도,창녕군,고속국도,중부내륙선,45,양평기점 + 창원종점,,경상남도 창녕군 대지면 효정리 산73,35.54476662,128.4759091,,12,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
창녕,경상남도,창녕군,고속국도,중부내륙선,45,창원기점 + 양평종점,,경상남도 창녕군 창녕읍 탐하리 524-1,35.53081282,128.4886241,,33,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
현풍,대구광역시,달성군,고속국도,중부내륙선,45,양평기점 + 창원종점,,대구광역시 달성군 현풍면 대리 211-1,35.66531242,128.4364373,,7,N,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
울산,울산광역시,울주군,고속국도,울산선,16,언양기점 + 울산종점,,울산광역시 울주군 언양읍 반송리 산92-4,35.55006335,129.1676785,,37,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
울산,울산광역시,울주군,고속국도,울산선,16,울산기점 + 언양종점,,울산광역시 울주군 언양읍 반송리 산92-2,35.55060678,129.1678186,,9,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
진주,경상남도,진주시,고속국도,통영대전선,35,하남기점 + 통영종점,,경상남도 진주시 판문동 983,35.1967611,128.0294344,,8,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
진주,경상남도,진주시,고속국도,통영대전선,35,통영기점 + 하남종점,,경상남도 진주시 판문동 992-1,35.1974311,128.0292074,,8,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
금서,경상남도,산청군,고속국도,통영대전선,35,통영기점 + 하남종점,,경상남도 산청군 금서면 특리 370,35.43835362,127.8549316,,8,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
금서,경상남도,산청군,고속국도,통영대전선,35,하남기점 + 통영종점,,경상남도 산청군 금서면 특리 292,35.44024723,127.8530933,,9,N,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
수동,경상남도,함양군,고속국도,통영대전선,35,통영기점 + 하남종점,,경상남도 함양군 수동면 화산리 858-28,35.51741196,127.7960624,,11,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
수동,경상남도,함양군,고속국도,통영대전선,35,하남기점 + 통영종점,,경상남도 함양군 수동면 화산리 858-28,35.51700106,127.7958056,,9,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
서상,경상남도,함양군,고속국도,통영대전선,35,통영기점 + 하남종점,,경상남도 함양군 서하면 봉전리 145-16,35.63486771,127.7098856,,8,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
서상,경상남도,함양군,고속국도,통영대전선,35,하남기점 + 통영종점,,경상남도 함양군 서하면 봉전리 산128-2,35.63521699,127.7086105,,8,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
지수,경상남도,진주시,고속국도,남해선,10,순천기점 + 부산종점,,경상남도 진주시 지수면 금곡리 산55-1,35.20806514,128.258087,,30,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
지수,경상남도,진주시,고속국도,남해선,10,부산기점 + 순천종점,,경상남도 진주시 사봉면 방촌리 산21-2,35.20630993,128.2543815,,16,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
곤양,경상남도,사천시,고속국도,남해선,10,순천기점 + 부산종점,,경상남도 사천시 곤양면 맥사리 165-7,35.05302474,127.9440775,,8,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
곤양,경상남도,사천시,고속국도,남해선,10,부산기점 + 순천종점,,경상남도 사천시 곤양면 맥사리 165-7,35.05342734,127.9448921,,19,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
창원,경상남도,창원시,고속국도,남해1지선,102,산인기점 + 창원종점,,경상남도 창원시 의창구 동정동 495,35.2633169213,128.6120080521,,13,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
창원,경상남도,창원시,고속국도,남해1지선,102,창원기점 + 산인종점,,경상남도 창원시 의창구 동정동 495,35.2633169213,128.6120080521,,22,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
진례,경상남도,김해시,고속국도,남해선,10,부산기점 + 순천종점,,경상남도 김해시 진례면 초전리 381-1,35.2453459,128.7602606,,19,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
진례,경상남도,김해시,고속국도,남해선,10,순천기점 + 부산종점,,경상남도 김해시 진례면 초전리 257-1,35.24999917,128.7587703,,18,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
북창원,경상남도,창원시,고속국도,남해선,10,순천기점 + 부산종점,,경상남도 창원시 의창구 북면 지개리 341,35.28318598,128.6164245,,7,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
김해,경상남도,김해시,고속국도,남해선,10,순천기점 + 부산종점,,경상남도 김해시 전하동 329,35.22063775,128.8702681,,6,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
김해,경상남도,김해시,고속국도,남해선,10,부산기점 + 순천종점,,경상남도 김해시 전하동 329,35.22103896,128.8703875,,6,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
일광,부산광역시,기장군,고속국도,부산외곽순환선,600,기장기점 + 창원종점,,부산광역시 기장군 일광면 용천리 257,35.2923374812,129.2061947986,,13,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
일광,부산광역시,기장군,고속국도,부산외곽순환선,600,창원기점 + 기장종점,,부산광역시 기장군 일광면 용천리 257,35.2923374812,129.2061947986,,13,Y,,,한국도로공사 부산경남본부,055-711-6000,2020-06-30,B500004,한국도로공사
수암,경상북도,영덕군,고속국도,청주영덕선,30,청주기점 + 영덕종점,,경상북도 영덕군 지품면 수암리 356-4,36.46174181,129.2106424,,11,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
지품,경상북도,영덕군,고속국도,청주영덕선,30,영덕기점 + 청주종점,,경상북도 영덕군 지품면 지품리 산18-6,36.48082604,129.1746182,,11,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
묵계,경상북도,안동시,고속국도,청주영덕선,30,청주기점 + 영덕종점,,경상북도 안동시 길안면 묵계리 산102-3,36.43731819,128.9286015,,5,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
하화,경상북도,의성군,고속국도,청주영덕선,30,영덕기점 + 청주종점,,경상북도 의성군 단촌면 관덕리 산52,36.41862684,128.6993456,,10,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
삼춘,경상북도,의성군,고속국도,청주영덕선,30,청주기점 + 영덕종점,,경상북도 의성군 안평면 삼춘리 산19-1,36.42126126,128.5771409,,12,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
개진,경상북도,고령군,고속국도,중부내륙선,45,창원기점 + 양평종점,,경상북도 고령군 개진면 부리 781-4,35.70208347,128.4175266,,7,N,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
오봉,경상북도,김천시,고속국도,중부내륙선,45,양기점 + 창원종점,,경상북도 김천시 남면 오봉리 산196-2,36.09329997,128.2610192,,7,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
아포,경상북도,구미시,고속국도,중부내륙선,45,창원기점 + 양평종점,,경상북도 구미시 선산읍 습례리 308,36.21292981,128.2621654,,7,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
아포,경상북도,김천시,고속국도,중부내륙선,45,양평기점 + 창원종점,,경상북도 김천시 아포읍 예리 산4-1,36.19802423,128.2588806,,23,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
죽령,충청북도,단양군,고속국도,중앙선,55,부산기점 + 춘천종점,,충청북도 단양군 대강면 용부원리 산49-21,36.91389721,128.3974696,,7,N,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
죽령,충청북도,단양군,고속국도,중앙선,55,춘천기점 + 부산종점,,충청북도 단양군 대강면 용부원리 301-4,36.91346418,128.3977206,,7,N,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
풍산,경상북도,안동시,고속국도,중앙선,55,춘천기점 + 부산종점,,경상북도 안동시 풍산읍 만운리 1360,36.60312808,128.5842772,,7,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
보문,경상북도,예천군,고속국도,중앙선,55,부산기점 + 춘천종점,,경상북도 예천군 보문면 오신리 산52-1,36.6892773,128.5540977,,7,N,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
고령,경상북도,고령군,고속국도,광주대구선,12,광주기점 + 대구종점,,경상북도 고령군 개진면 양전리 산80-3,35.72144193,128.2967916,,12,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
쌍림,경상북도,고령군,고속국도,광주대구선,12,대구기점 + 광주종점,,경상북도 고령군 쌍림면 월막리 288-3,35.70182652,128.2324377,,12,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
남상,경상남도,거창군,고속국도,광주대구선,12,광주기점 + 대구종점,,경상남도 거창군 남상면 무촌리 1193,35.63609676,127.9062065,,14,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
남상,경상남도,거창군,고속국도,광주대구선,12,대구기점 + 광주종점,,경상남도 거창군 남상면 오계리 881,35.61061674,127.8816188,,18,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
기계,경상북도,포항시,고속국도,대구포항선,20,포항기점 + 대구종점,,경상북도 포항시 북구 기계면 봉계리 1528,36.06332811,129.1449677,,7,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
화산,경상북도,영천시,고속국도,대구포항선,20,대구기점 + 포항종점,,경상북도 영천시 화산면 암기리 613-1,36.01708851,128.8855841,,17,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
읍내,대구광역시,북구,고속국도,중앙선,55,부산기점 + 춘천종점,,대구광역시 북구 읍내동 624-2,35.94848752,128.5476681056,,7,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
명곡,경상북도,구미시,고속국도,중앙선,55,부산기점 + 춘천종점,,경상북도 구미시 장천면 명곡리 539-1,36.12551059,128.5417496,,9,N,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
명곡,경상북도,구미시,고속국도,중앙선,55,춘천기점 + 부산종점,,경상북도 구미시 장천면 명곡리 530,36.12555218,128.541114,,6,N,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
안평,경상북도,의성군,고속국도,중앙선,55,부산기점 + 춘천종점,,경상북도 의성군 안평면 기도리 254-38,36.37913639,128.5773805,,7,N,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
안평,경상북도,의성군,고속국도,중앙선,55,춘천기점 + 부산종점,,경상북도 의성군 안평면 기도리 75,36.37984684,128.5771056,,7,N,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
북안,경상북도,영천시,고속국도,경부선,1,부산기점 + 서울종점,,경상북도 영천시 북안면 반정리 294-1,35.92415888,129.0003408,,15,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
북안,경상북도,영천시,고속국도,경부선,1,서울기점 + 부산종점,,경상북도 영천시 북안면 반정리 289,35.92465646,128.9982568,,15,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
검단,대구광역시,북구,고속국도,경부선,1,부산기점 + 서울종점,,대구광역시 북구 검단동 376-12,35.91579504,128.6148778,,26,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
검단,대구광역시,북구,고속국도,경부선,1,서울기점 + 부산종점,,대구광역시 북구 검단동 543-2,35.91537842,128.6150826,,38,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
지천,경상북도,칠곡군,고속국도,경부선,1,서울기점 + 부산종점,,경상북도 칠곡군 지천면 영오리 753-1,35.92245308,128.484277,,14,Y,,,한국도로공사 대구경북본부,053-714-6000,2020-06-30,B500004,한국도로공사
