졸음쉼터명,시도명,시군구명,도로종류,도로노선명,도로노선번호,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,총연장,주차면수,화장실유무,방범용CCTV수,기타편의시설,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
낙상,경상북도,상주시,고속국도,중부내륙선,45,창원기점 + 양평종점,,경상북도 상주시 낙상동 산57,36.44761124,128.2056277,,7,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
사벌,경상북도,상주시,고속국도,중부내륙선,45,양평기점 + 창원종점,,경상북도 상주시 사벌면 덕담리 1458-9,36.46409916,128.2002341,,12,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
문경,경상북도,문경시,고속국도,중부내륙선,45,양평기점 + 창원종점,,경상북도 문경시 문경읍 각서리 18-3,36.74680658,128.0611682,,14,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
광혜원,경기도,평택시,고속국도,평택제천선,40,제천기점 + 평택종점,,충청북도 진천군 광혜원면 죽현리 61-4,36.95214296,127.4258917,,21,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
금성,충청북도,제천시,고속국도,평택제천선,40,평택기점 + 제천종점,,충청북도 제천시 금성면 사곡리 376-1,37.07759813,128.1504715,,12,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
금성,충청북도,제천시,고속국도,평택제천선,40,제천기점 + 평택종점,,충청북도 제천시 금성면 사곡리 373-1,37.07816586,128.1506726,,12,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
중앙탑,충청북도,충주시,고속국도,평택제천선,40,평택기점 + 제천종점,,충청북도 충주시 중앙탑면 하구암리 389,37.04071646,127.8303872,,14,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
중앙탑,충청북도,충주시,고속국도,평택제천선,40,제천기점 + 평택종점,,충청북도 충주시 중앙탑면 하구암리 352-3,37.04140089,127.8319658,,14,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
상주,경상북도,상주시,고속국도,청주영덕선,30,청주기점 + 영덕종점,,경상북도 상주시 내서면 신촌리 산64-15,36.40748615,128.0699397,,7,N,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
상주,경상북도,상주시,고속국도,청주영덕선,30,영덕기점 + 청주종점,,경상북도 상주시 내서면 고곡리 산254-1,36.42573099,128.0447809,,7,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
탄부,충청북도,보은군,고속국도,청주영덕선,30,청주기점 + 영덕종점,,충청북도 보은군 탄부면 매화리 산1-2,36.45453975,127.7700237,,7,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
탄부,충청북도,보은군,고속국도,청주영덕선,30,영덕기점 + 청주종점,,충청북도 보은군 탄부면 매화리 산1-2,36.45487429,127.7708088,,7,N,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
회인,충청북도,보은군,고속국도,청주영덕선,30,영덕기점 + 청주종점,,충청북도 보은군 회인면 용촌리 산28-6,36.50185736,127.5918712,,7,N,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
대소원,충청북도,충주시,고속국도,중부내륙선,45,창원기점 + 양평종점,,충청북도 충주시 대소원면 완오리 산38-1,36.97405777,127.8477614,,8,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
노은,충청북도,충주시,고속국도,중부내륙선,45,양평기점 + 창원종점,,충청북도 충주시 노은면 신효리 679,37.03976079,127.7696765,,8,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
앙성,충청북도,충주시,고속국도,중부내륙선,45,창원기점 + 양평종점,,충청북도 충주시 앙성면 지당리 731-17,37.09905733,127.716149,,13,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
가남,경기도,여주시,고속국도,중부내륙선,45,양평기점 + 창원종점,,경기도 여주시 가남읍 삼승리 143-1,37.16913597,127.6263173,,16,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
봉양,충청북도,제천시,고속국도,중앙선,55,부산기점 + 춘천종점,,충청북도 제천시 봉양읍 명암리 642-2,37.1785028839,128.1289443960,,7,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
오창,충청북도,청주시,고속국도,중부선,35,통영기점 + 하남종점,,충청북도 청주시 청원구 오창읍 괴정리 46-1,36.73478604,127.4567304,,14,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
오창,충청북도,청주시,고속국도,중부선,35,하남기점 + 통영종점,,충청북도 청주시 청원구 오창읍 주성리 15-6,36.73503935,127.4563375,,14,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
농다리,충청북도,진천군,고속국도,중부선,35,하남기점 + 통영종점,,충청북도 진천군 문백면 구곡리 87,36.8346557956,127.4940113,,36,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
진천,충청북도,진천군,고속국도,중부선,35,통영기점 + 하남종점,,충청북도 진천군 초평면 중석리 1215,36.85375263,127.4870417,,19,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
대소,충청북도,음성군,고속국도,중부선,35,통영기점 + 하남종점,,충청북도 음성군 대소면 오류리 208-7,36.9770738778,127.4692792638,,18,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
일죽,경기도,안성시,고속국도,중부선,35,통영기점 + 하남종점,,경기도 안성시 일죽면 월정리 755,37.08416491,127.4563706720,,22,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
일죽,경기도,안성시,고속국도,중부선,35,하남기점 + 통영종점,,경기도 안성시 일죽면 월정리 755,37.0841965225,127.4563706720,,30,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
모가,경기도,이천시,고속국도,중부선,35,통영기점 + 하남종점,,경기도 이천시 모가면 신갈리 25-11,37.19702753,127.4434916,,28,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
모가,경기도,이천시,고속국도,중부선,35,하남기점 + 통영종점,,경기도 이천시 모가면 신갈리 587-1,37.19707069,127.4430711,,9,Y,,,한국도로공사 충북본부,043-721-6000,2020-06-30,B500004,한국도로공사
여주,경기도,여주시,고속국도,중부내륙선,45,양평기점 + 창원종점,,경기도 여주시 흥천면 귀백리 308-4,37.34126386,127.5468546,,7,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
여주,경기도,여주시,고속국도,중부내륙선,45,창원기점 + 양평종점,,경기도 여주시 흥천면 귀백리 261-7,37.34096785,127.5475279,,7,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
이천,경기도,이천시,고속국도,영동선,50,인천기점 + 강릉종점,,경기도 이천시 고담동 산77-8,37.24178094,127.4655556,,17,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
이천,경기도,이천시,고속국도,영동선,50,강릉기점 + 인천종점,,경기도 이천시 고담동 산78-4,37.242818,127.4671223,,23,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
양양,강원도,양양군,고속국도,서울양양선,60,양양기점 + 서울종점,,강원도 양양군 서면 영덕리 산81-63,37.99888322,128.535677,,14,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
양양,강원도,양양군,고속국도,서울양양선,60,서울기점 + 양양종점,,강원도 양양군 서면 서림리 산1-51,37.99765631,128.5353021,,14,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
인제,강원도,인제군,고속국도,서울양양선,60,양양기점 + 서울종점,,강원도 인제군 상남면 상남리 1556-17,37.84005963,128.2324303,,16,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
인제,강원도,인제군,고속국도,서울양양선,60,서울기점 + 양양종점,,강원도 인제군 상남면 상남리 1535-7,37.84317461,128.2355949,,11,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
강현,강원도,양양군,고속국도,동해선,65,삼척기점 + 속초종점,,강원도 양양군 강현면 침교리 산99-2,38.11910802,128.5800265,,11,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
강현,강원도,양양군,고속국도,동해선,65,속초기점 + 삼척종점,,강원도 양양군 강현면 사교리 산92-1,38.11904424,128.5795379,,11,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
단봉,강원도,동해시,고속국도,동해선,65,속초기점 + 삼척종점,,강원도 동해시 단봉동 755-8,37.45951629,129.1072327,,12,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
서종,경기도,양평군,고속국도,서울양양선,60,양양기점 + 서울종점,,경기도 양평군 서종면 노문리 457-3,37.64958169,127.4293625,,8,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
북방,강원도,홍천군,고속국도,서울양양선,60,양양기점 + 서울종점,,강원도 홍천군 북방면 성동리 산93-2,37.75816867,127.8798796,,5,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
횡성,강원도,횡성군,고속국도,중앙선,55,춘천기점 + 부산종점,,강원도 횡성군 공근면 공근리 11-2,37.58174156,127.9743522,,10,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
횡성,강원도,횡성군,고속국도,중앙선,55,부산기점 + 춘천종점,,강원도 횡성군 공근면 공근리 15-1,37.57393337,127.9736355,,10,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
만종,강원도,원주시,고속국도,중앙선,55,부산기점 + 춘천종점,,강원도 원주시 호저면 만종리 392-1,37.35011873,127.9099120845,,19,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
만종,강원도,원주시,고속국도,중앙선,55,춘천기점 + 부산종점,,강원도 원주시 호저면 만종리 산29-1,37.34974752,127.9087201,,30,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
홍천강,강원도,홍천군,고속국도,중앙선,55,춘천기점 + 부산종점,,강원도 홍천군 북방면 소매곡리 295-1,37.71181941,127.8274567,,16,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
대관령전망대,강원도,강릉시,고속국도,영동선,50,인천기점 + 강릉종점,,강원도 강릉시 성산면 어흘리 803,37.72401119,128.7789922,,19,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
대관령,강원도,평창군,고속국도,영동선,50,강릉기점 + 인천종점,,강원도 평창군 대관령면 횡계리 196-4,37.67469063,128.7212405,,19,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
월정,강원도,평창군,고속국도,영동선,50,인천기점 + 강릉종점,,강원도 평창군 대관령면 유천리 838-1,37.66389423,128.5930434,,16,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
월정,강원도,평창군,고속국도,영동선,50,강릉기점 + 인천종점,,강원도 평창군 진부면 간평리 562-2,37.66468244,128.593235,,11,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
삽교,강원도,횡성군,고속국도,영동선,50,인천기점 + 강릉종점,,강원도 횡성군 둔내면 삽교리 1117-6,37.52230994,128.2749162,,5,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
삽교,강원도,횡성군,고속국도,영동선,50,강릉기점 + 인천종점,,강원도 횡성군 둔내면 삽교리 산120-11,37.522793282,128.274970735,,23,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
소초,강원도,원주시,고속국도,영동선,50,인천기점 + 강릉종점,,강원도 원주시 소초면 평장리 산125-4,37.42011836,128.0021464,,21,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
소초,강원도,원주시,고속국도,영동선,50,강릉기점 + 인천종점,,강원도 원주시 소초면 평장리 산125-4,37.42031692,128.0017217,,14,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
적금,경기도,여주시,고속국도,영동선,50,인천기점 + 강릉종점,,경기도 여주시 강천면 적금리 588-2,37.2526044,127.7036683,,13,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
적금,경기도,여주시,고속국도,영동선,50,강릉기점 + 인천종점,,경기도 여주시 강천면 적금리 269,37.25297603,127.7038704,,13,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
생태습지,경기도,여주시,고속국도,영동선,50,인천기점 + 강릉종점,,경기도 여주시 가남읍 안금리 92,37.23415407,127.602415,,14,Y,,,한국도로공사 강원본부,033-811-6000,2020-06-30,B500004,한국도로공사
수동쉼터,10,정선군,06,군도,0,운치-가수,,강원도 정선군 신동읍 운치리 113-1,37.294234,128.615603,70,7,Y,0,평의자,신동읍,033-560-2733,2019-06-30,4290000,강원도 정선군
버들고개 쉼터,10,정선군,02,국도,42,임계-고단,,강원도 정선군 임계면 송계리 산 116-4,37.508185,128.851801,140,6,Y,0,평의자,임계면,033-560-2784,2019-06-30,4290000,강원도 정선군
신동쉼터,10,정선군,02,국도,38,연하-신동,강원도 정선군 신동읍 의림로 171-19,강원도 정선군 신동읍 예미리 892-76,37.208851,128.637679,118,19,Y,0,평의자,신동읍,033-560-2733,2019-06-30,4290000,강원도 정선군
쇄재쉼터,10,정선군,02,국도,59,남면-정선,,강원도 정선군 남면 낙동리 233-6,37.327021,128.715776,92,4,Y,0,평의자,남면,033-560-2833,2019-06-30,4290000,강원도 정선군
작은너근령소공원,10,정선군,02,국도,42,여량-임계,,강원도 정선군 임계면 송계리 산177-5,37.358613,128.784422,57,4,Y,0,평의자,임계면,033-560-2784,2019-06-30,4290000,강원도 정선군
김포,경기도,김포시,고속국도,서울외곽선,100,판교기점 + 일산종점,,경기도 김포시 고촌읍 신곡리 757-1,37.5922573945,126.7683878205,,82,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
김포,경기도,김포시,고속국도,서울외곽선,100,일산기점 + 판교종점,,경기도 김포시 고촌읍 신곡리 800-1,37.59223432,126.7661402,,29,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
시흥,경기도,시흥시,고속국도,서울외곽선,100,판교기점 + 일산종점,,경기도 시흥시 계수동 90-6,37.45066632,126.8048718,,26,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
시흥,경기도,시흥시,고속국도,서울외곽선,100,일산기점 + 판교종점,,경기도 시흥시 계수동 460,37.44971576,126.8041487,,14,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
서서울,경기도,안산시,고속국도,서해안선,15,목포기점 + 서울종점,,경기도 안산시 상록구 장하동 산8-1,37.35707318,126.8648736,,94,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
서서울,경기도,안산시,고속국도,서해안선,15,서울기점 + 목포종점,,경기도 안산시 상록구 장하동 151,37.3549338994,126.8619896410,,16,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
군자,경기도,시흥시,고속국도,영동선,50,강릉기점 + 인천종점,경기도 시흥시 군자로335번길 36-29,,37.3587541744,126.7807833047,,54,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
이목,경기도,수원시,고속국도,영동선,50,인천기점 + 강릉종점,,경기도 수원시 장안구 이목동 산108,37.31967543,126.9860418,,42,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
용인,경기도,용인시,고속국도,영동선,50,인천기점 + 강릉종점,,경기도 용인시 기흥구 청덕동 390-7,37.28841323,127.1391303,,8,N,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
향남,경기도,화성시,고속국도,서해안선,15,서울기점 + 목포종점,,경기도 화성시 향남읍 구문천리 144-11,37.07015086,126.888366,,8,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
송탄,경기도,평택시,고속국도,평택제천선,40,제천기점 + 평택종점,,경기도 평택시 모곡동 223-3,37.03166299,127.081089,,23,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
송탄,경기도,평택시,고속국도,평택제천선,40,평택기점 + 제천종점,,경기도 평택시 모곡동 222,37.03189468,127.0808497,,23,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
오산,경기도,오산시,고속국도,경부선,1,서울기점 + 부산종점,,경기도 오산시 부산동 437-4,37.15663657,127.0867455,,11,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
오산,경기도,오산시,고속국도,경부선,1,부산기점 + 서울종점,,경기도 오산시 부산동 418-1,37.1554034,127.0868107,,24,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
남사,경기도,용인시,고속국도,경부선,1,서울기점 + 부산종점,,경기도 용인시 처인구 남사면 진목리 415-6,37.09618326,127.1205006,,11,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
원곡,경기도,평택시,고속국도,경부선,1,부산기점 + 서울종점,,경기도 평택시 용이동 419-15,37.00113622,127.151958,,14,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
번천,경기도,광주시,고속국도,중부선,35,하남기점 + 통영종점,,경기도 광주시 남한산성면 광지원리 306-1,37.4527891,127.2559971,,19,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
번천,경기도,광주시,고속국도,중부선,35,통영기점 + 하남종점,,경기도 광주시 남한산성면 광지원리 306-1,37.453157,127.256301,,16,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
도척,경기도,광주시,고속국도,중부선,35,하남기점 + 통영종점,,경기도 광주시 도척면 진우리 482-1,37.32298539,127.3384423,,10,N,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
도척,경기도,광주시,고속국도,중부선,35,통영기점 + 하남종점,,경기도 광주시 도척면 진우리 482-1,37.32318149,127.3388331,,12,N,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
상번천,경기도,광주시,고속국도,제2중부선,37,하남기점 + 통영종점,,경기도 광주시 남한산성면 상번천리 315-2,37.44821067,127.2737601,,35,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
상번천,경기도,광주시,고속국도,제2중부선,37,통영기점 + 하남종점,,경기도 광주시 남한산성면 상번천리 245,37.44799577,127.2751754,,8,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
청계,경기도,의왕시,고속국도,서울외곽선,100,판교기점 + 일산종점,경기도 의왕시 안양판교로 476,,37.3932698389,127.0223102693,,19,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
성남,경기도,성남시,고속국도,서울외곽선,100,퇴계원기점 + 구리종점,,경기도 성남시 수정구 수진동 39,37.4411906353,127.1347198282,,83,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
구리남양주,경기도,구리시,고속국도,서울외곽선,100,판교기점 + 일산종점,,경기도 구리시 토평동 86,37.58978453,127.1559020050,,89,Y,,,한국도로공사 수도권본부,02-2219-6000,2020-06-30,B500004,한국도로공사
